Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
43,23,33,10,10,77,4,1.13,0.61,1.74,0.87,1.47
63,47,61,2,5,87,3,1.66,1.24,2.89,1.61,2.84
53,38,49,4,5,65,3,1.39,1.00,2.39,1.29,2.29
32,16,30,2,2,84,4,0.84,0.42,1.26,0.79,1.21
63,44,61,2,2,71,1,1.66,1.16,2.82,1.61,2.76
43,31,40,3,5,59,2,1.13,0.82,1.95,1.05,1.87
61,42,58,3,3,56,0,1.61,1.11,2.71,1.53,2.63
42,28,39,3,5,73,1,1.11,0.74,1.84,1.03,1.76
38,29,36,2,5,92,1,1.00,0.76,1.76,0.95,1.71
28,18,24,4,5,71,4,0.74,0.47,1.21,0.63,1.11
48,33,42,6,9,67,2,1.26,0.87,2.13,1.11,1.97
51,38,50,1,2,80,2,1.34,1.00,2.34,1.32,2.32
65,44,59,6,8,65,1,1.71,1.16,2.87,1.55,2.71
25,15,23,2,2,90,3,0.66,0.39,1.05,0.61,1.00
66,47,63,3,4,62,3,1.74,1.24,2.97,1.66,2.89
50,39,47,3,3,55,3,1.32,1.03,2.34,1.24,2.26
64,46,59,5,8,83,1,1.68,1.21,2.89,1.55,2.76
