Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
568,201,35.4,14.95,5.29,0.12,0.34
452,160,35.4,11.89,4.21,0.10,0.29
388,121,31.2,10.21,3.18,0.09,0.27
582,205,35.2,15.32,5.39,0.14,0.40
441,137,31.1,11.61,3.61,0.10,0.32
500,192,38.4,13.16,5.05,0.11,0.29
435,145,33.3,11.45,3.82,0.10,0.29
639,236,36.9,16.82,6.21,0.11,0.30
633,215,34.0,16.66,5.66,0.11,0.32
589,207,35.1,15.50,5.45,0.09,0.25
549,179,32.6,14.45,4.71,0.07,0.20
426,135,31.7,11.21,3.55,0.08,0.24
403,145,36.0,10.61,3.82,0.10,0.29
670,257,38.4,17.63,6.76,0.11,0.30
424,143,33.7,11.16,3.76,0.08,0.25
399,124,31.1,10.50,3.26,0.11,0.34
498,136,27.3,13.11,3.58,0.09,0.32
