Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper
5,Arsenal,38,23,6,9,77,44,33,75,59957,Alexis Sánchez - 24,Petr Čech
9,Bournemouth,38,12,10,16,55,67,-12,46,11182,Joshua King - 16,Artur Boruc
16,Burnley,38,11,7,20,39,55,-16,40,20558,Sam Vokes - 10,Tom Heaton
1,Chelsea,38,30,3,5,85,33,52,93,41508,Diego Costa - 20,Thibaut Courtois
14,Crystal Palace,38,12,5,21,50,63,-13,41,25161,Christian Benteke - 15,Wayne Hennessey
7,Everton,38,17,10,11,62,44,18,61,39047,Romelu Lukaku - 25,Joel Robles
12,Leicester City,38,12,8,18,48,63,-15,44,31893,Jamie Vardy - 13,Kasper Schmeichel
4,Liverpool,38,22,10,6,78,42,36,76,53016,Philippe Coutinho Sadio Mané - 13,Simon Mignolet
3,Manchester City,38,23,9,6,80,39,41,78,54019,Sergio Agüero - 20,Claudio Bravo
6,Manchester Utd,38,18,15,5,54,29,25,69,75290,Zlatan Ibrahimović - 17,David de Gea
8,Southampton,38,12,10,16,41,48,-7,46,30936,Nathan Redmond - 7,Fraser Forster
13,Stoke City,38,11,11,16,41,56,-15,44,27433,Peter Crouch - 7,Lee Grant
15,Swansea City,38,12,5,21,45,70,-25,41,20619,Fernando Llorente - 15,Łukasz Fabiański
2,Tottenham,38,26,8,4,86,26,60,86,31639,Harry Kane - 29,Hugo Lloris
17,Watford,38,11,7,20,40,68,-28,40,20571,Troy Deeney - 10,Heurelho Gomes
10,West Brom,38,12,9,17,43,51,-8,45,23876,Salomón Rondón - 8,Ben Foster
11,West Ham,38,12,9,17,47,64,-17,45,56972,Michail Antonio - 9,Darren Randolph
