Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
51,38,46,5,6,52,4,1.34,1.00,2.34,1.21,2.21,50.6,46.1,34.0,80.1,1.33,0.89,2.23,1.21,2.11
60,44,58,2,3,73,1,1.58,1.16,2.74,1.53,2.68,61.4,59.3,43.7,103.0,1.62,1.15,2.77,1.56,2.71
49,36,48,1,3,30,2,1.29,0.95,2.24,1.26,2.21,52.6,50.3,34.5,84.9,1.38,0.91,2.29,1.32,2.23
38,29,35,3,5,45,6,1.00,0.76,1.76,0.92,1.68,51.7,48.2,37.4,85.7,1.36,0.99,2.35,1.27,2.25
36,26,34,2,2,75,1,0.95,0.68,1.63,0.89,1.58,35.3,33.8,25.4,59.1,0.93,0.67,1.60,0.89,1.56
53,40,51,2,2,72,3,1.39,1.05,2.45,1.34,2.39,50.7,49.1,34.0,83.2,1.33,0.89,2.23,1.29,2.19
58,51,55,3,5,49,5,1.53,1.34,2.87,1.45,2.79,52.3,48.8,35.7,84.4,1.38,0.94,2.32,1.28,2.22
57,41,53,4,6,56,4,1.50,1.08,2.58,1.39,2.47,55.2,50.5,34.0,84.5,1.45,0.90,2.35,1.33,2.22
58,47,56,2,4,52,1,1.53,1.24,2.76,1.47,2.71,49.9,46.9,37.1,83.9,1.31,0.98,2.29,1.23,2.21
38,23,34,4,6,50,0,1.00,0.61,1.61,0.89,1.50,34.0,29.4,19.5,48.9,0.89,0.51,1.41,0.77,1.29
25,17,25,0,2,77,3,0.66,0.45,1.11,0.66,1.11,22.8,21.3,14.8,36.1,0.60,0.39,0.99,0.56,0.95
26,18,25,1,1,69,1,0.68,0.47,1.16,0.66,1.13,41.7,41.0,29.8,70.8,1.10,0.79,1.88,1.08,1.86
44,32,40,4,6,62,0,1.16,0.84,2.00,1.05,1.89,53.4,48.7,37.9,86.6,1.41,1.00,2.40,1.28,2.28
56,43,55,1,2,51,2,1.47,1.13,2.61,1.45,2.58,48.8,47.3,33.7,81.0,1.29,0.89,2.17,1.25,2.13
35,22,33,2,3,75,1,0.92,0.58,1.50,0.87,1.45,35.0,32.7,23.0,55.6,0.92,0.60,1.53,0.86,1.46
63,43,57,6,6,65,3,1.66,1.13,2.79,1.50,2.63,57.9,53.4,35.7,89.1,1.52,0.94,2.46,1.41,2.34
67,48,62,5,6,55,1,1.76,1.26,3.03,1.63,2.89,59.2,54.6,41.0,95.6,1.56,1.08,2.64,1.44,2.51
