Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG
590,227,38.5,15.53,5.97,0.12,0.30,17.4,30,0.11,+4.6,+4.4
473,153,32.3,12.45,4.03,0.09,0.27,17.5,13,0.09,+0.2,-0.6
381,113,29.7,10.03,2.97,0.07,0.25,17.9,3,0.09,-4.2,-3.8
387,126,32.6,10.18,3.32,0.09,0.28,16.0,16,0.09,+0.5,+0.5
602,209,34.7,15.84,5.50,0.09,0.27,17.4,19,0.09,+2.1,+1.3
466,133,28.5,12.26,3.50,0.08,0.27,17.0,20,0.11,-12.1,-12.9
359,108,30.1,9.45,2.84,0.10,0.34,16.9,8,0.10,+0.6,+1.8
362,105,29.0,9.53,2.76,0.06,0.22,18.1,13,0.09,-6.7,-7.2
418,137,32.8,11.00,3.61,0.11,0.35,17.0,12,0.11,+4.9,+4.4
642,228,35.5,16.89,6.00,0.12,0.35,17.1,22,0.11,+9.3,+9.6
661,255,38.6,17.39,6.71,0.15,0.38,17.4,31,0.12,+16.6,+16.6
513,176,34.3,13.50,4.63,0.13,0.38,17.6,22,0.12,+6.3,+7.8
451,152,33.7,11.87,4.00,0.08,0.25,18.4,19,0.10,-7.3,-6.5
448,138,30.8,11.79,3.63,0.07,0.24,17.7,11,0.09,-6.2,-6.9
626,212,33.9,16.47,5.58,0.11,0.32,17.4,27,0.11,+2.7,+3.0
437,128,29.3,11.50,3.37,0.09,0.30,17.1,9,0.10,-5.4,-3.6
369,128,34.7,9.71,3.37,0.12,0.36,17.4,17,0.10,+8.2,+9.2
