# Pl,Age,Poss,Gls,Ast,G-PK,PK,PKatt,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
28,26.7,58,69,52,65,4,5,1.82,1.37,3.18,1.71,3.08,58,54.1,45.5,99.6,1.53,1.2,2.72,1.42,2.62
28,26.6,46.8,55,43,48,7,9,1.45,1.13,2.58,1.26,2.39,54.4,47.6,37.9,85.5,1.43,1,2.43,1.25,2.25
21,27.4,42.6,35,24,30,5,6,0.92,0.63,1.55,0.79,1.42,34.1,29.6,22.7,52.3,0.9,0.6,1.5,0.78,1.38
23,28,41.2,43,32,41,2,2,1.13,0.84,1.97,1.08,1.92,40.7,39.2,25.7,64.9,1.07,0.68,1.75,1.03,1.71
24,27.3,62.8,61,52,56,5,5,1.61,1.37,2.97,1.47,2.84,58.3,54.5,45.2,99.7,1.53,1.19,2.72,1.43,2.62
26,27.4,45,48,33,38,10,11,1.26,0.87,2.13,1,1.87,50.8,42.8,31.1,73.9,1.34,0.82,2.15,1.13,1.94
23,25.7,51.5,53,34,51,2,5,1.39,0.89,2.29,1.34,2.24,47.3,43.3,30.3,73.6,1.24,0.8,2.04,1.14,1.94
25,25.9,51.1,48,34,43,5,7,1.26,0.89,2.16,1.13,2.03,49.6,44.5,35.1,79.6,1.31,0.92,2.23,1.17,2.09
23,26.1,61.7,86,55,79,7,7,2.26,1.45,3.71,2.08,3.53,74.8,69.5,49,118.5,1.97,1.29,3.26,1.83,3.12
21,26.7,67.8,91,71,88,3,4,2.39,1.87,4.26,2.32,4.18,82,78.9,61.1,140.1,2.16,1.61,3.77,2.08,3.69
28,26.3,54.5,65,40,56,9,12,1.71,1.05,2.76,1.47,2.53,59.4,50.2,38.3,88.5,1.56,1.01,2.57,1.32,2.33
24,26.9,40.4,41,33,40,1,3,1.08,0.87,1.95,1.05,1.92,39.6,37.3,26.7,64,1.04,0.7,1.75,0.98,1.69
30,25.4,43.9,44,27,40,4,5,1.16,0.71,1.87,1.05,1.76,46.1,42.5,27.5,70,1.21,0.72,1.94,1.12,1.84
28,26.8,58.9,66,47,62,4,4,1.74,1.24,2.97,1.63,2.87,57.9,54.9,38,93,1.52,1,2.53,1.45,2.45
25,28.5,47.1,51,39,50,1,1,1.34,1.03,2.37,1.32,2.34,48.1,47.3,34.1,81.4,1.27,0.9,2.16,1.25,2.14
26,27.6,48.7,51,33,46,5,5,1.34,0.87,2.21,1.21,2.08,48.2,44.5,32.4,76.9,1.27,0.85,2.12,1.17,2.02
21,26.1,46.9,46,35,42,4,4,1.21,0.92,2.13,1.11,2.03,49,45.9,33.7,79.7,1.29,0.89,2.18,1.21,2.1
