Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
5,Arsenal,38,21,7,10,73,51,22,70,58,54.1,3.9,0.1,59899,Pierre-Emerick Aubameyang - 22,Bernd Leno
14,Bournemouth,38,13,6,19,56,70,-14,45,54.4,55.6,-1.2,-0.03,10532,Callum Wilson - 14,Asmir Begović
17,Brighton,38,9,9,20,35,60,-25,36,34.1,56,-21.9,-0.58,30426,Glenn Murray - 13,Mathew Ryan
15,Burnley,38,11,7,20,45,68,-23,40,40.7,63,-22.3,-0.59,20534,Ashley Barnes - 12,Tom Heaton Joe Hart
3,Chelsea,38,21,9,8,63,39,24,72,58.3,34.8,23.5,0.62,40437,Eden Hazard - 16,Kepa Arrizabalaga
12,Crystal Palace,38,14,7,17,51,53,-2,49,50.8,48.1,2.7,0.07,25455,Luka Milivojević - 12,Vicente Guaita
8,Everton,38,15,9,14,54,46,8,54,47.3,46.4,0.9,0.02,39043,Gylfi Sigurðsson Richarlison - 13,Jordan Pickford
9,Leicester City,38,15,7,16,51,48,3,52,49.6,44.4,5.2,0.14,31851,Jamie Vardy - 18,Kasper Schmeichel
2,Liverpool,38,30,7,1,89,22,67,97,74.8,30.5,44.3,1.17,52983,Sadio Mané Mohamed Salah - 22,Alisson
1,Manchester City,38,32,2,4,95,23,72,98,82,25.3,56.7,1.49,54130,Sergio Agüero - 21,Ederson
6,Manchester Utd,38,19,9,10,65,54,11,66,59.4,48.1,11.3,0.3,74498,Paul Pogba - 13,David de Gea
13,Newcastle Utd,38,12,9,17,42,48,-6,45,39.6,53.7,-14.1,-0.37,51121,Ayoze Pérez - 12,Martin Dúbravka
16,Southampton,38,9,12,17,45,65,-20,39,46.1,55.5,-9.4,-0.25,30139,James Ward-Prowse Danny Ings - 7,Alex McCarthy
4,Tottenham,38,23,2,13,67,39,28,71,57.9,45.3,12.7,0.33,54216,Harry Kane - 17,Hugo Lloris
11,Watford,38,14,8,16,52,59,-7,50,48.1,54.5,-6.4,-0.17,20016,Gerard Deulofeu - 10,Ben Foster
10,West Ham,38,15,7,16,52,55,-3,52,48.2,62.1,-13.8,-0.36,58336,Marko Arnautović - 10,Łukasz Fabiański
7,Wolves,38,16,9,13,47,46,1,57,49,38,10.9,0.29,31030,Raúl Jiménez - 13,Rui Patrício
